name,open_date,close_date,buy_price,sell_price,pnl,commission
913323573,2018-09-12 09:32:00,2018-09-14 09:35:00,285.65,279.56,-8982.749999999964,0.29500000000000004
913323368,2018-09-12 09:32:00,2018-09-17 09:32:00,348.11,339.6548,-18373.14959999998,0.43460000000000004
913323916,2018-09-12 09:32:00,2018-09-17 09:33:00,75.255,76.57,8199.024999999985,1.247
913255610,2018-09-13 13:31:00,2018-09-17 09:52:00,91.99,91.91,-950.0799999999797,2.3752
913257170,2018-09-14 09:32:00,2018-09-17 10:50:00,27.9,27.79,-1306.1399999999933,2.3748
913255699,2018-09-12 09:32:00,2018-09-17 14:58:00,123.46,120.36,-8540.499999999984,0.551
913256187,2018-09-12 09:32:00,2018-09-17 15:15:00,150.355,147.55,-10050.314999999922,0.7166
913256186,2018-09-12 09:32:00,2018-09-17 15:34:00,186.79,184.05,-4589.499999999967,0.335
913323457,2018-09-12 09:32:00,2018-09-18 09:54:00,68.71,70.25,12229.14000000005,1.5882
913256311,2018-09-12 09:32:00,2018-09-19 09:32:00,66.68,52.225,-39794.61500000001,0.5506
913323516,2018-09-14 09:32:00,2018-09-19 09:37:00,7.195,7.05,-4879.540000000015,6.7304
913254465,2018-09-12 09:32:00,2018-09-19 10:13:00,146.27,140.93,-27698.580000000016,1.0374
913256965,2018-09-12 09:32:00,2018-09-19 10:18:00,117.425,117.04,-1616.2299999999618,0.8396
913323444,2018-09-14 09:32:00,2018-09-19 10:52:00,74.61,73.67,-2954.419999999993,0.6286
913324210,2018-09-12 09:32:00,2018-09-19 11:25:00,120.72,120.3,-1741.740000000007,0.8294
913324581,2018-09-12 09:32:00,2018-09-19 11:36:00,48.74,47.3,-22155.840000000073,3.0772
913256365,2018-09-12 09:32:00,2018-09-19 12:11:00,215.14,210.66,-7477.119999999983,0.33380000000000004
913256419,2018-09-18 09:32:00,2018-09-20 09:46:00,34.37,33.9387,-27134.376900000014,12.582600000000001
913323312,2018-09-19 09:32:00,2018-09-21 09:32:00,27.280000000000005,27.99,37859.32999999967,10.6646
913256281,2018-09-14 09:32:00,2018-09-21 13:05:00,99.47,97.79,-4110.959999999982,0.4894
913255758,2018-09-14 09:32:00,2018-09-24 10:58:00,89.835,87.77,-2007.1799999999978,0.19440000000000002
913323558,2018-09-26 09:32:00,2018-09-28 09:32:00,90.55,89.705,-68306.41999999991,16.1672
913256616,2018-09-12 09:32:00,2018-10-01 09:50:00,146.045,136.02,-22265.52499999995,0.44420000000000004
913257106,2018-09-12 09:32:00,2018-10-02 15:01:00,98.3,97.04,-9651.59999999993,1.532
913323467,2018-09-12 09:32:00,2018-10-04 09:34:00,153.72,160.19,10604.329999999998,0.32780000000000004
913323930,2018-10-03 09:32:00,2018-10-04 09:38:00,352.575,344.72,-183901.2599999991,4.6824
913256422,2018-09-19 09:32:00,2018-10-05 09:42:00,130.46,125.96,-39352.500000000124,1.749
913256171,2018-10-04 09:32:00,2018-10-05 12:28:00,136.435,131.145,-4464.759999999993,0.1688
913257070,2018-10-05 09:37:00,2018-10-08 09:32:00,115.16,112.59,-184037.69999999952,14.322000000000001
913324581,2018-10-18 09:32:00,2018-10-23 10:59:00,48.35,48.83,91998.2399999994,38.3326
913256281,2018-11-07 12:52:00,2018-11-09 09:51:00,99.03,96.17,-2442.4399999999996,0.1708
913256260,2018-11-05 09:32:00,2018-11-09 14:00:00,45.22,45.8611,132463.44090000034,41.3238
913257399,2018-11-14 09:32:00,2018-11-15 09:32:00,93.83289999999998,91.205,-265378.48149999825,20.197000000000003
913323368,2018-11-16 09:32:00,2018-11-20 09:32:00,343.3450000000001,345.04,45542.95499999829,5.3738
913323573,2018-11-19 09:32:00,2018-11-20 09:32:00,319.16,302.342,-2236.7940000000053,0.026600000000000002
913256186,2018-11-21 09:33:00,2018-11-21 09:37:00,155.26,151.785,-102283.14999999983,5.8868
913324210,2018-11-19 09:32:00,2018-11-21 09:41:00,123.89000000000001,120.27,-1469.7200000000075,0.08120000000000001
913256186,2018-11-21 09:40:00,2018-11-21 09:42:00,153.86,151.22,-77088.00000000044,5.84
913256955,2018-11-26 09:32:00,2018-11-27 09:34:00,75.34,74.15,-704.4799999999987,0.1184
913324169,2018-11-30 09:32:00,2018-12-04 09:34:00,55.14,56.66,381.519999999999,0.0502
913323461,2018-12-04 09:32:00,2018-12-04 09:44:00,158.24,156.29,-13.65000000000012,0.0014
